S0129_dict_frame.mat	(0.0104,-0.0403,-0.0229)	(0.0137,-0.0334,-0.0380)	(0.0016,-0.1967,0.3618,-0.9113)	(0.7548,-0.6532,-0.0590,-0.0087)
S0130_dict_frame.mat	(-0.0012,-0.0465,-0.0365)	(-0.0026,-0.0112,-0.0514)	(0.0002,-0.9099,0.3640,-0.1991)	(0.9804,-0.1239,0.1411,-0.0595)
S0131_dict_frame.mat	(0.0126,-0.0223,-0.0300)	(0.0096,-0.0026,-0.0616)	(0.0006,0.3827,-0.0528,-0.9224)	(0.8488,-0.1102,-0.5009,-0.1283)
S0132_dict_frame.mat	(0.0040,-0.0439,-0.0442)	(-0.0035,-0.0221,-0.0345)	(0.0004,-0.3585,-0.2973,-0.8849)	(0.9140,0.3740,0.1561,-0.0199)
S0133_dict_frame.mat	(0.0080,-0.0380,-0.0229)	(0.0208,-0.0215,-0.0229)	(0.0001,-0.4673,-0.3736,-0.8013)	(0.8160,0.2784,0.5013,-0.0731)
S0134_01_dict_frame.mat	(-0.0136,-0.0159,-0.0320)	(-0.0039,-0.0523,-0.0288)	(0.0001,0.8397,0.1494,-0.5221)	(0.3066,-0.8893,0.0694,0.3322)
S0135_01_dict_frame.mat	(0.0142,-0.0066,-0.0255)	(0.0198,0.0087,-0.0228)	(0.0001,-0.4429,-0.0906,-0.8920)	(0.9116,0.3131,0.2661,0.0137)
S0136_01_dict_frame.mat	(0.0191,-0.0478,-0.0510)	(0.0005,-0.0188,-0.0356)	(0.0002,0.6294,0.1473,-0.7630)	(0.7143,-0.4857,-0.4891,-0.1211)
S0137_02_dict_frame.mat	(-0.0057,-0.0340,-0.0140)	(0.0107,-0.0300,-0.0260)	(0.0000,-0.6807,-0.4635,-0.5673)	(0.2382,-0.5848,-0.3121,-0.7098)
S0138_01_dict_frame.mat	(0.0169,-0.0181,-0.0262)	(0.0051,-0.0472,-0.0354)	(0.0001,-0.4174,-0.2597,-0.8708)	(0.9514,0.1892,0.2428,-0.0040)
S0138_02_dict_frame.mat	(0.0116,-0.0328,-0.0331)	(0.0007,-0.0571,-0.0388)	(0.1576,-0.4299,-0.8111,-0.3639)	(0.8744,0.3711,-0.2091,0.2321)
S0139_01_dict_frame.mat	(NaN,NaN,NaN)	(NaN,NaN,NaN)	(NaN,NaN,NaN,NaN)	(NaN,NaN,NaN,NaN)
S0140_01_dict_frame.mat	(0.0127,-0.0472,-0.0288)	(0.0014,-0.0312,-0.0322)	(0.0390,-0.3773,0.7477,-0.5451)	(0.8387,-0.5307,-0.1216,0.0132)
S0141_01_dict_frame.mat	(0.0066,-0.0075,-0.0359)	(0.0043,-0.0249,-0.0249)	(0.0010,0.6068,0.2243,-0.7625)	(0.6270,-0.7314,0.2548,0.0838)
S0142_01_dict_frame.mat	(0.0034,-0.0582,-0.0179)	(-0.0035,-0.0316,-0.0631)	(0.0003,-0.5646,0.5950,-0.5720)	(0.6140,0.6900,0.3822,0.0288)
S0143_01_dict_frame.mat	(NaN,NaN,NaN)	(NaN,NaN,NaN)	(NaN,NaN,NaN,NaN)	(NaN,NaN,NaN,NaN)
S0144_01_dict_frame.mat	(0.0014,-0.0483,-0.0363)	(-0.0007,-0.0338,-0.0406)	(0.0000,0.5538,0.0135,-0.8326)	(0.1089,-0.6868,0.3629,0.6202)
S0145_01_dict_frame.mat	(-0.0043,-0.0400,-0.0330)	(0.0104,-0.0357,-0.0335)	(0.0031,0.0270,0.4536,-0.8908)	(0.9526,-0.1325,-0.2703,0.0442)
S0146_01_dict_frame.mat	(-0.0013,-0.0283,-0.0183)	(0.0150,-0.0231,-0.0251)	(0.0001,0.6116,0.0697,-0.7881)	(-0.0728,-0.8112,0.0768,0.5752)
S0147_01_dict_frame.mat	(0.0168,-0.0115,-0.0181)	(0.0094,-0.0239,-0.0213)	(0.0009,-0.2683,-0.2433,-0.9321)	(0.8498,0.3443,0.3990,0.0049)
S0148_01_dict_frame.mat	(0.0131,-0.0463,-0.0381)	(0.0166,-0.0543,-0.0516)	(0.4588,0.3148,-0.4890,-0.6718)	(0.6373,0.6148,-0.3822,0.2642)
S0149_01_dict_frame.mat	(0.0103,-0.0051,-0.0187)	(0.0116,0.0028,-0.0486)	(0.0001,0.0910,0.3936,-0.9148)	(0.9664,-0.2486,0.0650,-0.0065)
S0150_01_dict_frame.mat	(-0.0032,-0.0086,-0.0137)	(-0.0092,-0.0262,-0.0508)	(0.0001,-0.6300,0.0757,-0.7729)	(0.9738,0.1184,0.1922,-0.0289)
S0151_01_dict_frame.mat	(0.0119,-0.0177,-0.0261)	(0.0168,0.0187,-0.0193)	(0.0004,0.1715,0.4264,-0.8881)	(0.8137,-0.5806,-0.0281,-0.0058)
S0152_01_dict_frame.mat	(0.0128,-0.0447,-0.0269)	(-0.0015,-0.0252,-0.0335)	(0.0019,-0.3648,-0.3328,-0.8696)	(0.8403,0.4368,0.3191,-0.0349)
S0153_01_dict_frame.mat	(0.0205,-0.0323,-0.0287)	(0.0016,-0.0374,-0.0453)	(0.0004,0.6226,-0.0248,-0.7822)	(0.0896,0.9367,0.3281,-0.0831)
