-7.81078261e+00	-7.18252500e+00	2.42936995e+00	-1.96842551e+00	-3.06724334e+00	-8.86384472e-01	-1.81203107e+00	3.10557534e+00	-5.90665261e+00	-1.69474347e+00	3.01077479e+00	-3.57362412e+00
-7.03561380e+00	-7.74585498e+00	2.16223624e+00	-1.89993800e+00	-2.18008277e+00	-1.42697977e+00	-1.95776349e+00	2.94675646e+00	-5.92109218e+00	-2.14403813e+00	2.27430877e+00	-2.65066897e+00
-6.21099122e+00	-8.10164327e+00	2.02471405e+00	-1.69845632e+00	-1.52277798e+00	-1.96570216e+00	-1.60801799e+00	3.07961949e+00	-5.70896641e+00	-2.72951719e+00	2.33273442e+00	-1.67772759e+00
-5.05505011e+00	-7.96355317e+00	2.07554619e+00	-1.52952094e+00	-9.43579858e-01	-2.22360763e+00	4.75232998e-02	3.05059799e+00	-5.42375289e+00	-3.29351607e+00	2.67030810e+00	-8.57998714e-01
-3.87106857e+00	-7.72332600e+00	2.30417654e+00	-1.43572351e+00	-4.82996935e-01	-2.15022991e+00	2.21648988e+00	3.07465123e+00	-5.13232925e+00	-3.73742319e+00	2.53051038e+00	-3.10870378e-01
-2.70422629e+00	-7.43712562e+00	2.57083930e+00	-1.33357246e+00	-1.73764295e-01	-1.77316621e+00	3.15014638e+00	3.41113223e+00	-5.20776235e+00	-4.04019181e+00	1.79855549e+00	-2.99951141e-02
-1.34798327e+00	-7.86515500e+00	2.52997867e+00	-1.23605803e+00	4.74314038e-02	-1.20561947e+00	4.67392912e+00	5.09052010e+00	-7.47924907e+00	-4.03628104e+00	7.81423321e-01	5.44265159e-02
-5.56010570e-01	-9.06955933e+00	1.82629401e+00	-1.16844376e+00	1.87613083e-01	-4.95764025e-01	4.57532812e+00	8.03487004e+00	-9.29371543e+00	-3.27337739e+00	-2.73233623e-01	4.36017496e-02
-7.64326735e-02	-1.08519887e+01	1.76404794e+00	-1.27585294e+00	2.28440114e-01	4.66452252e-01	3.80253219e+00	7.61408196e+00	-9.84983713e+00	-2.07409030e+00	-8.09890354e-01	-2.19505302e-01
-5.79385414e-01	-1.07858023e+01	1.24222652e+00	-1.22238930e+00	3.12484558e-01	1.21142392e+00	2.40006194e+00	8.09645053e+00	-9.20672508e+00	-1.04981819e+00	-1.24670711e+00	-6.39707433e-01
-1.04408056e+00	-8.71940286e+00	2.12276526e-01	-9.51747596e-01	2.09603681e-01	1.43256474e+00	-6.14305291e-01	7.17470313e+00	-6.63373342e+00	-3.48868695e-01	-1.29064182e+00	-8.34088021e-01
